Return_Trend,Momentum_Factor,Composite_Volatility,Latent_State_A,Latent_State_B,Latent_State_C,Tail_Kurtosis,Tail_Skew,Return_Trend_lag1,Momentum_Factor_lag1,Composite_Volatility_lag1,Latent_State_A_lag1,Latent_State_B_lag1,Latent_State_C_lag1,Tail_Kurtosis_lag1,Tail_Skew_lag1,Return_Trend_lag5,Momentum_Factor_lag5,Composite_Volatility_lag5,Latent_State_A_lag5,Latent_State_B_lag5,Latent_State_C_lag5,Tail_Kurtosis_lag5,Tail_Skew_lag5
-0.04831148552767794,-0.04381411275234614,-1.0833105659437332,-0.8425931935003343,-0.8421421581046552,-0.84198060607738,0.7171658428851795,-0.27755170766945053,-0.02343026322251611,-0.01894153822972973,-1.097321385558359,-0.8420707022845539,-0.8421092157499721,-0.8428275945494933,0.9133398304619997,-0.2762651546036631,0.03118698848464478,0.03591437394706805,-1.1305588280794119,-0.8470398805657693,-0.8483618591613231,-0.8536466220192791,0.9145537527116465,0.013843650692923573
-0.047379457163824926,-0.043048663788298844,-1.0580880205513905,-0.8431916726702332,-0.8427499871559738,-0.8417838448761583,0.9328853580802989,-0.008765018807493414,-0.04831148552767794,-0.04381411275234614,-1.0833105659437332,-0.8425931935003343,-0.8421421581046552,-0.84198060607738,0.7171658428851795,-0.27755170766945053,0.007914768210211306,0.012640205644961228,-1.134776114630843,-0.8443270221023583,-0.8451332394131474,-0.8501078458601692,0.8600627250564328,-0.05669302093925329
-0.04273071764546643,-0.0384680103198016,-1.0454352546030385,-0.8437333145383257,-0.8433651211051765,-0.8419556716705803,0.7537412772020975,-0.021934458413920617,-0.047379457163824926,-0.043048663788298844,-1.0580880205513905,-0.8431916726702332,-0.8427499871559738,-0.8417838448761583,0.9328853580802989,-0.008765018807493414,-0.013889986765345405,-0.00920235910697441,-1.1256799838044822,-0.8430776306178669,-0.8433208055026247,-0.8469468325981886,0.928274196066202,-0.15579420814025502
-0.021953396550393297,-0.017894265012916476,-1.0238162580946724,-0.8435237074298574,-0.8435689943003069,-0.842283493121236,0.8675658365272967,0.12629592696455483,-0.04273071764546643,-0.0384680103198016,-1.0454352546030385,-0.8437333145383257,-0.8433651211051765,-0.8419556716705803,0.7537412772020975,-0.021934458413920617,-0.031647755128354146,-0.027007981464896805,-1.11759420136966,-0.8425288309675515,-0.8425381500542927,-0.8445037797736465,0.8907903921189808,-0.17177913884711937
-0.044093429450009214,-0.03991912966138751,-1.017263399193875,-0.8435943726049795,-0.8432847756063153,-0.8425823839947006,0.9297755955401605,0.09284908058915553,-0.021953396550393297,-0.017894265012916476,-1.0238162580946724,-0.8435237074298574,-0.8435689943003069,-0.842283493121236,0.8675658365272967,0.12629592696455483,-0.02343026322251611,-0.01894153822972973,-1.097321385558359,-0.8420707022845539,-0.8421092157499721,-0.8428275945494933,0.9133398304619997,-0.2762651546036631
-0.04440455063198926,-0.04038192862044152,-1.0087530956559463,-0.845050803537747,-0.8443690176565021,-0.8429990872542046,0.8185026613662298,0.1782072961375774,-0.044093429450009214,-0.03991912966138751,-1.017263399193875,-0.8435943726049795,-0.8432847756063153,-0.8425823839947006,0.9297755955401605,0.09284908058915553,-0.04831148552767794,-0.04381411275234614,-1.0833105659437332,-0.8425931935003343,-0.8421421581046552,-0.84198060607738,0.7171658428851795,-0.27755170766945053
-0.02795575238271385,-0.023980766930569476,-0.9967430442957597,-0.8455622824936277,-0.845354688167453,-0.8435018553787835,0.6667628552178622,0.30181367308125134,-0.04440455063198926,-0.04038192862044152,-1.0087530956559463,-0.845050803537747,-0.8443690176565021,-0.8429990872542046,0.8185026613662298,0.1782072961375774,-0.047379457163824926,-0.043048663788298844,-1.0580880205513905,-0.8431916726702332,-0.8427499871559738,-0.8417838448761583,0.9328853580802989,-0.008765018807493414
-0.03418652384939559,-0.030226442738782888,-0.9935018642137377,-0.845608412249135,-0.845395278014764,-0.8439294335648917,0.6292301886582088,0.3451187335569875,-0.02795575238271385,-0.023980766930569476,-0.9967430442957597,-0.8455622824936277,-0.845354688167453,-0.8435018553787835,0.6667628552178622,0.30181367308125134,-0.04273071764546643,-0.0384680103198016,-1.0454352546030385,-0.8437333145383257,-0.8433651211051765,-0.8419556716705803,0.7537412772020975,-0.021934458413920617
-0.02981737759202021,-0.025838869236826108,-0.992774375063608,-0.8455447831201651,-0.845433048412056,-0.844447625025752,0.6936145245500565,0.3469412047455291,-0.03418652384939559,-0.030226442738782888,-0.9935018642137377,-0.845608412249135,-0.845395278014764,-0.8439294335648917,0.6292301886582088,0.3451187335569875,-0.021953396550393297,-0.017894265012916476,-1.0238162580946724,-0.8435237074298574,-0.8435689943003069,-0.842283493121236,0.8675658365272967,0.12629592696455483
-0.01380164950287125,-0.009898816735228272,-0.9924379049061796,-0.8450938129662378,-0.8451813431560966,-0.8447121979417076,0.6077321937292925,0.31773734429464895,-0.02981737759202021,-0.025838869236826108,-0.992774375063608,-0.8455447831201651,-0.845433048412056,-0.844447625025752,0.6936145245500565,0.3469412047455291,-0.044093429450009214,-0.03991912966138751,-1.017263399193875,-0.8435943726049795,-0.8432847756063153,-0.8425823839947006,0.9297755955401605,0.09284908058915553
-0.025297965885359458,-0.02132799908634458,-0.995261220377981,-0.8446414969939081,-0.8446267889338941,-0.8445623206512725,0.7358064994341293,0.35518094038307296,-0.01380164950287125,-0.009898816735228272,-0.9924379049061796,-0.8450938129662378,-0.8451813431560966,-0.8447121979417076,0.6077321937292925,0.31773734429464895,-0.04440455063198926,-0.04038192862044152,-1.0087530956559463,-0.845050803537747,-0.8443690176565021,-0.8429990872542046,0.8185026613662298,0.1782072961375774
-0.017997980160557252,-0.01399379565871084,-1.0022029570730473,-0.8442871942423433,-0.8443309511915252,-0.8443094860108228,0.8581756068581261,0.3506935528215583,-0.025297965885359458,-0.02132799908634458,-0.995261220377981,-0.8446414969939081,-0.8446267889338941,-0.8445623206512725,0.7358064994341293,0.35518094038307296,-0.02795575238271385,-0.023980766930569476,-0.9967430442957597,-0.8455622824936277,-0.845354688167453,-0.8435018553787835,0.6667628552178622,0.30181367308125134
-0.02121383781833371,-0.017212499693123478,-1.0103246461040172,-0.8436716451360413,-0.8437771203080069,-0.8439096148642149,0.8419986969193705,0.34009700355302686,-0.017997980160557252,-0.01399379565871084,-1.0022029570730473,-0.8442871942423433,-0.8443309511915252,-0.8443094860108228,0.8581756068581261,0.3506935528215583,-0.03418652384939559,-0.030226442738782888,-0.9935018642137377,-0.845608412249135,-0.845395278014764,-0.8439294335648917,0.6292301886582088,0.3451187335569875
